# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: Dar Mansour - Morocco's Kitchen
# Property: Dar Mansour - Morocco's Kitchen
# ----------------------------------------
# 
# All Users
# Start date: 20260701
# End date: 20260825
Session source / medium,Event name,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
chatgpt.com / ai-assistant,page_view,50,23,0.46,0,1.3,65,0,0,0
chatgpt.com / ai-assistant,session_start,50,23,0.46,0,1,50,0,0,0
chatgpt.com / ai-assistant,first_visit,48,22,0.4583333333333333,0,1,48,0,0,0
chatgpt.com / ai-assistant,user_engagement,23,22,0.9565217391304348,32.78260869565217,1.3043478260869565,30,0,0,0
chatgpt.com / ai-assistant,scroll,2,2,1,16,1,2,0,0,0
chatgpt.com / ai-assistant,click,1,1,1,0,1,1,0,0,0
chatgpt.com / ai-assistant,contact_click,1,1,1,57,2,2,2,1,0
